Time  1 - default sample rate;Load;Displacement;AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate                      
0,446666688;-4,725059032;-0,001856035;-0,109489404;-0,321205467;-0,793187559;4,999959469;-2,353628159;0,137126356;948333419,1
0,450000021;-4,627480984;-0,001291481;-0,201725423;-0,075506277;-0,975699782;4,713247776;-2,314934969;0,137126356;948333419,1
0,453333355;-4,61960268;-0,000917315;-0,117504962;-0,050952941;-0,566262484;4,817689896;-1,630465627;0,137126356;948333419,1
0,456666688;-4,595257282;-0,001717635;0,047515083;-0,422020644;-0,555117488;2,159832478;-1,12049377;0,137126356;948333419,1
0,460000022;-4,577255726;-0,001412083;0,01952433;-0,38497743;-0,216254473;-3,903877735;-2,374953747;0,137126356;948333419,1
0,463333355;-4,629959106;-0,001544662;0,180715412;-0,041783746;-0,028844643;-7,668192387;-1,367265821;0,137126356;948333419,1
0,466666689;-4,688269138;-0,00135298;0,243982881;-0,700705767;-0,381620705;-3,67737937;-1,050945878;0,137126356;948333419,1
0,470000022;-4,719577312;-0,001444533;0,256276548;-0,25530389;-0,371789306;0,881719768;-1,911946654;0,137126356;948333419,1
0,473333356;-4,732693195;-0,001925535;0,315268517;-0,010391264;-0,222796336;-5,17717886;-2,690320492;0,137126356;948333419,1
0,476666689;-4,763155937;-0,002002598;0,073406838;-0,085335575;-0,237448961;-6,53547287;-3,648271084;0,137126356;948333419,1
0,480000023;-4,698486805;-0,002090028;0,061821941;0,019457042;-0,442516834;-7,514475822;-4,296831608;0,137126356;948333419,1
0,483333356;-4,712444782;-0,00176385;0,023407746;-0,005509012;-0,551051736;-6,505256176;-3,54530406;0,137126356;948333419,1
0,48666669;-4,704740524;-0,001771309;0,020789914;-0,103463069;-0,426970512;-3,348174334;-3,184222937;0,137126356;948333419,1
0,490000023;-4,821140289;-0,001344512;0,034521412;0,309481859;-0,434980899;-1,996357441;-3,442649841;0,137126356;948333419,1
0,493333357;-4,724709511;-0,001298653;-0,016139438;0,221663609;-0,452131242;-1,754243255;-3,758192062;0,137126356;948333419,1
0,49666669;-4,657971859;-0,001043748;-0,037317675;-0,110237606;-0,209575117;-1,650413036;-4,759388924;0,137126356;948333419,1
0,500000024;-4,639356136;-0,001131386;0,159276292;0,054278228;-0,088886552;3,646722794;-5,656882286;0,137126356;948333419,2
0,503333357;-4,760854721;-0,001438555;0,142063722;0,011400984;-0,125610575;0,183225796;-5,486255646;0,137126356;948333419,2
0,506666691;-4,669921875;-0,001474529;0,053791381;-0,265454143;-0,220387161;-0,543783367;-6,205643177;0,137126356;948333419,2
0,510000024;-4,666517258;-0,001434069;0,023558429;-0,240190446;-0,368857533;-4,055868626;-6,660027504;0,137126356;948333419,2
0,513333358;-4,639118195;-0,001718541;0,061218653;-0,265446991;-0,438428134;2,690121889;-5,870211601;0,137126356;948333419,2
0,516666691;-4,610370636;-0,001959511;0,082415514;-0,547462761;-0,599909782;-0,339028835;-4,642583847;0,137126356;948333419,2
0,520000025;-4,613893509;-0,002285333;0,164485112;-0,545402765;-0,376434296;-8,681952477;-3,965383768;0,137126356;948333419,2
0,523333358;-4,673033237;-0,001826859;0,126678303;-0,488720655;-0,453327179;-1,988094568;-4,682890415;0,137126356;948333419,2
0,526666692;-4,53299427;-0,001702243;-0,073029712;-0,206718162;-0,530851662;-1,744374514;-3,867325783;0,137126356;948333419,2
0,530000025;-4,624795437;-0,001939866;-0,179164752;-0,01483906;-0,395298302;4,597707272;-3,940033436;0,137126356;948333419,2
0,533333359;-4,654979229;-0,001397638;-0,240816861;0,052528623;-0,8278355;0,31556803;-4,215504169;0,137126356;948333419,2
0,536666692;-4,662829399;-0,001797587;-0,294875801;-0,029332396;-0,576722085;-0,155364975;-5,144188881;0,137126356;948333419,2
