Time  1 - default sample rate                                   ;Load [N];Displacement [mm];AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate
0.546666693;-6.247802734;-0.005375178;0.081568457;0.254535586;-0.995562792;18.62337112;0.193595678;0.098360285;947504010.6
0.550000026;-6.288987637;-0.005478424;0.072168924;0.036123816;-0.807281971;-8.813451767;0.338152975;0.098360285;947504010.6
0.55333336;-6.255027294;-0.004771784;0.027395774;0.208835468;-1.208764195;24.30120087;0.136146113;0.098360285;947504010.6
0.556666693;-6.294238091;-0.005004346;-0.046109401;0.45912993;-1.026062131;-3.824244738;0.530489147;0.098360285;947504010.6
0.560000027;-6.231165409;-0.004924793;0.049655646;0.284010142;-1.264535069;5.934893131;-0.82814461;0.098360285;947504010.6
0.56333336;-6.392278671;-0.004959869;0.059728835;0.064360276;-1.448442936;27.36678505;-1.554885387;0.098360285;947504010.6
0.566666694;-6.397428036;-0.004740069;-0.040510744;0.379769295;-1.193994403;-7.375899315;-2.27912879;0.098360285;947504010.6
0.570000027;-6.410080433;-0.004657193;0.040082414;0.270555407;-0.854523599;23.19375992;-2.16724515;0.098360285;947504010.6
0.573333361;-6.330507278;-0.005015924;0.002429088;0.145533338;-1.091394424;12.83203506;-0.75079608;0.098360285;947504010.6
0.576666694;-6.304448128;-0.005301486;0.053219251;0.353028774;-1.038663745;-3.057316065;0.533619761;0.098360285;947504010.7
0.580000028;-6.347288609;-0.005014389;-0.014597741;0.106617369;-1.164581418;24.89563942;0.589284539;0.098360285;947504010.7
0.583333361;-6.336850643;-0.004993933;-0.060701218;0.211928755;-0.941392124;-10.94983196;0.079190992;0.098360285;947504010.7
0.586666695;-6.263787746;-0.005115869;-0.106161013;-0.046678122;-0.913107038;9.825139999;-0.999020934;0.098360285;947504010.7
0.590000028;-6.289328575;-0.004703754;-0.125726312;-0.146099061;-1.083203912;18.38762856;-0.403923094;0.098360285;947504010.7
0.593333362;-6.306041241;-0.004622226;-0.241313756;0.174661502;-0.960111439;-10.08346081;0.204652011;0.098360285;947504010.7
0.596666695;-6.27940464;-0.005084526;-0.144458249;0.324326873;-1.037306547;28.11972618;1.479641676;0.098360285;947504010.7
0.600000028;-6.374948502;-0.005315691;-0.136259511;0.103795797;-0.748352706;7.472009659;2.289253473;0.098360285;947504010.7
0.603333362;-6.414673805;-0.005174825;-0.112724215;0.140386984;-0.921297729;-6.558769226;2.065199852;0.098360285;947504010.7
0.606666695;-6.416894913;-0.00482931;-0.123202562;0.555012941;-1.088253856;30.33287621;1.740700364;0.098360285;947504010.7
0.610000029;-6.280081272;-0.005189584;0.004132637;0.243747905;-1.179811239;-7.23959446;1.607600808;0.098360285;947504010.7
0.613333362;-6.161855221;-0.005080848;-0.129854158;0.463843942;-1.323962688;6.415028095;0.813802063;0.098360285;947504010.7
0.616666696;-6.275569439;-0.00476447;-0.23118411;0.288567364;-1.341663361;19.15421486;1.19286418;0.098360285;947504010.7
0.620000029;-6.231912136;-0.004865813;-0.191105127;0.210275158;-1.231909037;-16.72733688;1.355474472;0.098360285;947504010.7
0.623333363;-6.230621815;-0.004532886;-0.138861164;0.20642814;-1.253684878;16.74568367;1.201690078;0.098360285;947504010.7
0.626666696;-6.330348969;-0.004979255;-0.158313051;0.246273607;-0.881923437;11.86510372;1.148115158;0.098360285;947504010.7
0.63000003;-6.240038395;-0.005037766;-0.172795281;0.291457921;-0.762963533;-9.330024719;1.094291449;0.098360285;947504010.7
0.633333363;-6.348806381;-0.005174188;-0.095427059;0.157503456;-0.970216811;24.72299004;0.320395738;0.098360285;947504010.7
0.636666697;-6.358356476;-0.004945456;-0.221914232;0.314197898;-0.893386424;1.219401717;-0.378019363;0.098360285;947504010.7
0.64000003;-6.427052021;-0.005066288;-0.148320466;0.283042878;-0.720967472;-2.829589128;-0.172621399;0.098360285;947504010.7
0.643333364;-6.123336792;-0.004607723;-0.004599304;0.133038968;-0.71504879;34.5073204;0.899002135;0.098360285;947504010.7
0.646666697;-6.421845436;-0.004950849;0.017247247;0.449773997;-0.660641253;-4.874119759;1.525394917;0.098360285;947504010.7
0.650000031;-6.423977375;-0.005280941;-0.027911566;0.197971627;-0.580665946;-8.786383629;1.521497846;0.098360285;947504010.7
0.653333364;-6.439764023;-0.005381719;-0.020504223;0.540693045;-0.928783;21.11429596;1.96919179;0.098360285;947504010.7
0.656666698;-6.239369869;-0.005075399;0.028524712;0.311555475;-1.35846734;-14.26279449;1.964989185;0.098360285;947504010.7
0.660000031;-6.17423296;-0.00520805;-0.066075802;0.232575953;-1.40235424;10.48257446;2.454832315;0.098360285;947504010.7
0.663333365;-6.32868576;-0.004607136;0.095120385;0.251569599;-0.963984966;7.396249294;1.553458214;0.098360285;947504010.7
0.666666698;-6.325445175;-0.004645538;0.166246742;-0.076751389;-0.897939384;-20.71192932;1.226400614;0.098360285;947504010.7
0.670000032;-6.373050213;-0.00517538;0.148941159;0.021240979;-1.229030132;24.53672028;1.174298644;0.098360285;947504010.7
0.673333365;-6.404503345;-0.005203254;0.112642422;0.106460758;-1.000871897;0.954328895;2.012130737;0.098360285;947504010.7
0.676666699;-6.403623104;-0.005352007;0.104264162;0.253980845;-1.204260349;-0.517019928;3.060551882;0.098360285;947504010.8
0.680000032;-6.315657616;-0.005060432;0.148605376;0.545637727;-1.182781935;39.30184555;2.162666559;0.098360285;947504010.8
0.683333366;-6.165670872;-0.00519267;0.026262306;0.059095547;-0.877113104;-5.874607563;2.009176493;0.098360285;947504010.8
0.686666699;-6.16772604;-0.005387928;0.016873248;-0.266937971;-1.153834581;-6.491181374;1.306553125;0.098360285;947504010.8
